Date,time_from_start,Character_type,Character_position.x,Character_position.y,Character_position.z,User_Action,Form_Question,Form_Answer,Left_hand_position_x,Left_hand_position_y,Left_hand_position_z,Right_hand_position_x,Right_hand_position_y,Right_hand_position_z,Headset_eyetracking_rotation_x,Headset_eyetracking_rotation_y,Headset_eyetracking_rotation_z,Character_status,norm_time
1715338020618,313.8925,Cow_boy,-6.000121,-1.0,0.0998684,Idle,,,-6.051354,-0.09565133,0.3897799,-5.950534,-0.09169185,-0.1624791,-0.09214227,0.6446368,-0.01337527,,0.0
1715338020700,313.9758,Cow_boy,-5.916807,-1.00125,0.09987044,Idle,,,-5.949113,-0.09228241,0.4028876,-5.863509,-0.08419901,-0.1752354,-0.09375806,0.6441426,-0.01384067,,0.082
1715338020784,314.0591,Cow_boy,-5.833479,-1.002501,0.09987249,Idle,,,-5.910505,-0.09500873,0.4052589,-5.702891,-0.045012,-0.2050478,-0.09528247,0.643524,-0.01420774,,0.166
1715338020867,314.142,Cow_boy,-5.750566,-1.003745,0.09987452,Idle,,,-5.915654,-0.1167063,0.383196,-5.508235,0.01396835,-0.227797,-0.09643964,0.6428829,-0.01458977,,0.249
1715338020951,314.2255,Cow_boy,-5.667153,-1.004997,0.09987656,Idle,,,-5.833054,-0.1434295,0.3771017,-5.395191,0.02580976,-0.2127059,-0.0969272,0.6427481,-0.01464617,,0.333
1715338021034,314.3086,Cow_boy,-5.584003,-1.006245,0.09987859,Idle,,,-5.684172,-0.140353,0.415538,-5.384513,0.001240373,-0.1862135,-0.09662809,0.6428425,-0.01480144,,0.416
1715338021117,314.3918,Cow_boy,-5.500859,-1.007493,0.09988061,Idle,,,-5.530119,-0.1183774,0.479411,-5.422283,-0.04293275,-0.1408711,-0.09592277,0.6429084,-0.01498318,,0.499
1715338021200,314.4755,Cow_boy,-5.417153,-1.00875,0.0998827,Idle,,,-5.355923,-0.06457448,0.5136744,-5.459,-0.07623744,-0.1146026,-0.09513876,0.6431997,-0.01547062,,0.582
1715338021284,314.5586,Cow_boy,-5.334022,-1.009997,0.09988485,Idle,,,-5.176898,0.004751682,0.5096064,-5.482721,-0.08626962,-0.105428,-0.0944437,0.6435188,-0.01577616,,0.666
1715338021367,314.6422,Cow_boy,-5.25045,-1.011252,0.09988687,Idle,,,-5.016067,0.04419518,0.5110509,-5.476349,-0.09723461,-0.08017596,-0.09419034,0.6436615,-0.01609007,,0.749
1715338021450,314.7254,Cow_boy,-5.16728,-1.0125,0.09988896,Idle,,,-4.897058,0.04334521,0.5279714,-5.413937,-0.1121264,-0.05915519,-0.09445256,0.6438147,-0.01651109,,0.832
1715338021533,314.8082,Cow_boy,-5.08447,-1.013743,0.09989098,Idle,,,-4.834729,0.01720452,0.5148786,-5.291531,-0.1085158,-0.09773346,-0.09527898,0.6436799,-0.01700205,,0.915
